,Sub name,Model Score,Model Alpha,Model Beta
0,1129_5,28.667931401310955,0.6000000000000001,0.30000000000000004
1,1120_2,47.49614762422395,0.1,0.6000000000000001
2,1105_3,47.503864554643144,0.05,0.6000000000000001
3,1117_8,48.29,0.0,0.55
4,1121_3,32.32448354148022,0.6000000000000001,0.6000000000000001
5,1116_6,47.5833844571671,0.1,0.6000000000000001
6,1121_14,46.50171569542557,0.05,0.4
7,1117_13,41.338882294869784,0.2,0.30000000000000004
8,1206_3,3.8108412266644507,0.9500000000000001,0.0
9,1121_9,39.372319340409234,0.4,0.35000000000000003
10,1120_8,34.0386703644282,0.55,0.55
11,1128_5,5.233837722873471,0.9500000000000001,0.4
12,1117_2,17.455660783125726,0.75,0.2
13,1115_8,7.864193845073471,0.9,0.0
