,Sub name,Model Score,Model Alpha,Model Beta
0,1129_5,36.393332811314096,0.7000000000000001,0.75
1,1120_2,47.81819090566473,0.05,0.6000000000000001
2,1105_3,47.532111065240464,0.05,0.6000000000000001
3,1117_8,48.290000000000006,0.0,0.55
4,1121_3,43.38380028819554,0.5,0.75
5,1116_6,47.4291553677902,0.2,0.65
6,1121_14,46.56000000000001,0.0,0.4
7,1117_13,40.358635850739205,0.35000000000000003,0.4
8,1206_3,26.858251646589014,0.8,1.0
9,1121_9,41.28966333220334,0.4,0.45
10,1120_8,43.11241075962799,0.45,0.7000000000000001
11,1128_5,30.239973528929536,0.75,1.0
12,1117_2,31.93721329362254,0.65,0.6000000000000001
13,1115_8,30.371102680413212,0.75,0.8
