,Sub name,Model Score,Model Alpha,Model Beta
0,1129_5,43.04739178972504,0.25,0.35000000000000003
1,1120_2,47.96000000000001,0.0,0.6000000000000001
2,1105_3,47.760000000000005,0.0,0.6000000000000001
3,1117_8,48.28999999999999,0.0,0.55
4,1121_3,43.20253918272484,0.45,0.65
5,1116_6,47.89375420110555,0.1,0.6000000000000001
6,1121_14,45.530308023317914,0.2,0.45
7,1117_13,43.318864513388874,0.1,0.30000000000000004
8,1206_3,40.79470512333316,0.35000000000000003,0.4
9,1121_9,44.38058241061758,0.2,0.35000000000000003
10,1120_8,46.97896720762101,0.25,0.55
11,1128_5,43.32418132173518,0.35000000000000003,0.45
12,1117_2,42.526359625094315,0.25,0.35000000000000003
13,1115_8,41.82367807984993,0.30000000000000004,0.30000000000000004
