,Sub name,Model Score,Model Alpha,Model Beta
0,1120_3,32.765557640284406,0.6000000000000001,0.5
1,1115_4,26.39930577348574,0.65,0.30000000000000004
2,1117_9,30.342458409910062,0.6000000000000001,0.4
3,1121_4,33.71731921529452,0.6000000000000001,0.65
4,1116_7,26.552531982384735,0.7000000000000001,0.5
5,1121_15,48.39,0.0,0.55
6,1205_1,36.75,0.0,0.25
7,1129_2,45.60712890488348,0.15000000000000002,0.4
8,1117_14,41.08430263891552,0.4,0.5
9,1206_4,48.79802505294849,0.05,0.55
10,1121_10,34.86390799552662,0.55,0.5
11,1116_1,48.59000000000002,0.0,0.45
12,1120_9,42.309211620872475,0.35000000000000003,0.45
13,1117_5,46.96000000000001,0.0,0.4
