,Sub name,Model Score,Model Alpha,Model Beta
0,1120_3,35.83537661927889,0.5,0.35000000000000003
1,1115_4,33.45429323395104,0.5,0.2
2,1117_9,34.805843864587004,0.5,0.30000000000000004
3,1121_4,28.890029240563248,0.65,0.45
4,1116_7,26.64629064329905,0.65,0.25
5,1121_15,48.39000000000001,0.0,0.55
6,1205_1,36.75,0.0,0.25
7,1129_2,42.55114486280563,0.30000000000000004,0.35000000000000003
8,1117_14,41.72688092550348,0.4,0.4
9,1206_4,47.64135683933145,0.15000000000000002,0.55
10,1121_10,27.18126443736685,0.7000000000000001,0.30000000000000004
11,1116_1,48.50852664502044,0.05,0.45
12,1120_9,39.62244350727231,0.45,0.35000000000000003
13,1117_5,46.732575272422935,0.05,0.4
