,Sub name,Model Score,Model Alpha,Model Beta
0,1120_3,39.16483105828972,0.45,0.4
1,1115_4,32.420135620495145,0.55,0.2
2,1117_9,36.07038376849679,0.5,0.30000000000000004
3,1121_4,29.586952305923106,0.65,0.5
4,1116_7,28.586149556738867,0.65,0.30000000000000004
5,1121_15,48.39,0.0,0.55
6,1205_1,36.75,0.0,0.25
7,1129_2,42.14606095895762,0.30000000000000004,0.35000000000000003
8,1117_14,41.817487319679714,0.4,0.45
9,1206_4,47.97783574982945,0.15000000000000002,0.55
10,1121_10,27.883693782129047,0.7000000000000001,0.35000000000000003
11,1116_1,48.59,0.0,0.45
12,1120_9,40.05981563559031,0.4,0.4
13,1117_5,46.762206534794984,0.05,0.4
