,Sub name,Model Score,Model Alpha,Model Beta
0,1120_3,43.93077971533266,0.35000000000000003,0.25
1,1115_4,37.33154548313108,0.45,0.1
2,1117_9,40.26623097382139,0.45,0.1
3,1121_4,42.76562817146966,0.5,0.25
4,1116_7,40.15945948834139,0.5,0.1
5,1121_15,48.39000000000001,0.0,0.55
6,1205_1,36.75,0.0,0.25
7,1129_2,45.78625341075597,0.1,0.35000000000000003
8,1117_14,44.21601780253283,0.4,0.25
9,1206_4,47.87720926755915,0.15000000000000002,0.5
10,1121_10,38.28693514492105,0.6000000000000001,0.0
11,1116_1,48.40473865219265,0.05,0.45
12,1120_9,42.04558336988347,0.45,0.15000000000000002
13,1117_5,46.76964706014446,0.1,0.35000000000000003
