,Sub name,Model Score,Model Alpha,Model Beta
0,1128_1,12.44773600483315,0.8500000000000001,0.35000000000000003
1,1206_2,4.001731195787511,1.0,0.0
2,1120_4,6.106414141687021,0.9500000000000001,0.15000000000000002
3,1115_5,1.3834510655253915,1.0,0.0
4,1121_5,2.196761622576509,1.0,0.0
5,1117_10,6.808869722329543,0.9500000000000001,0.9
6,1116_8,46.760000000000005,0.0,0.4
7,1117_15,2.533622836110305,1.0,0.0
8,1206_5,14.513342375560342,0.8500000000000001,0.5
9,1116_2,7.710404883097663,0.9500000000000001,0.1
10,1121_11,2.2908476020519632,1.0,0.0
11,1120_10,4.241680177798017,1.0,0.0
12,1129_1,6.048857432881067,0.9500000000000001,0.1
13,1117_4,13.596583444301178,0.8500000000000001,0.55
