,Sub name,Model Score,Model Alpha,Model Beta
0,1128_1,13.69083121157238,0.8500000000000001,0.35000000000000003
1,1205_2,4.274821971637559,1.0,0.0
2,1120_4,7.427821850374332,0.9500000000000001,0.15000000000000002
3,1115_5,1.0011069692443173,1.0,0.0
4,1121_5,1.745226939325521,1.0,0.0
5,1117_10,6.7125163528147045,0.9500000000000001,0.8500000000000001
6,1116_8,46.760000000000005,0.0,0.4
7,1117_15,2.5916209600006193,1.0,0.0
8,1206_5,14.138180650944095,0.8500000000000001,0.5
9,1116_2,7.337507505002773,0.9500000000000001,0.1
10,1121_11,2.1039465419616805,1.0,0.0
11,1120_10,6.246137336758507,0.9500000000000001,0.55
12,1129_1,6.391656537737757,0.9500000000000001,0.1
13,1117_4,13.07373731853341,0.9,0.6000000000000001
