,Sub name,Model Score,Model Alpha,Model Beta
0,1121_6,41.30621049800659,0.35000000000000003,0.30000000000000004
1,1129_3,46.38341719941766,0.2,0.45
2,1116_4,45.71994375587534,0.25,0.45
3,1117_6,43.49357549188321,0.4,0.55
4,1206_6,47.56,0.0,0.4
5,1117_16,40.62859858171575,0.30000000000000004,0.35000000000000003
6,1121_12,49.0,0.0,0.5
7,1105_1,43.35231477734514,0.2,0.35000000000000003
8,1121_7,48.489999999999995,0.0,0.45
9,1120_5,43.2252677000333,0.30000000000000004,0.4
10,1206_1,48.8999055911897,0.05,0.5
11,1117_11,46.61512020927904,0.2,0.45
12,1116_9,43.83493236391661,0.30000000000000004,0.4
13,1128_4,47.760000000000005,0.0,0.6000000000000001
14,1115_6,45.115219378895205,0.30000000000000004,0.6000000000000001
