,Sub name,Model Score,Model Alpha,Model Beta
0,1129_4,43.809999999999995,0.0,0.35000000000000003
1,1116_5,40.727896774561806,0.35000000000000003,0.4
2,1105_2,39.944501160496756,0.45,0.5
3,1117_7,31.85453514938183,0.65,0.7000000000000001
4,1121_2,45.87775311320591,0.25,0.65
5,1120_1,34.2820160576004,0.55,0.55
6,1121_13,45.65819375640454,0.2,0.65
7,1121_8,42.18972973285224,0.25,0.35000000000000003
8,1117_12,44.59535707671021,0.25,0.45
9,1206_2,22.707513797557404,0.75,0.5
10,1117_1,44.86704070376661,0.30000000000000004,0.55
11,1128_3,32.03829178632393,0.55,0.35000000000000003
12,1120_7,35.87440878658114,0.35000000000000003,0.25
13,1115_7,27.463281631460582,0.6000000000000001,0.25
