,Sub name,Model Score,Model Alpha,Model Beta
0,1129_4,43.809999999999995,0.0,0.35000000000000003
1,1116_5,40.83876307163078,0.35000000000000003,0.4
2,1105_2,39.92319582172857,0.45,0.5
3,1117_7,31.814965290484523,0.65,0.7000000000000001
4,1121_2,45.81151432910001,0.25,0.65
5,1120_1,34.307839097574515,0.55,0.55
6,1121_13,45.68961357102489,0.2,0.65
7,1121_8,42.1818341502144,0.25,0.35000000000000003
8,1117_12,44.632257731014654,0.25,0.45
9,1206_2,22.622951651676438,0.75,0.5
10,1117_1,44.81873406427485,0.30000000000000004,0.55
11,1128_3,32.01168710919768,0.55,0.35000000000000003
12,1120_7,35.90988122500019,0.35000000000000003,0.25
13,1115_7,27.45239008823647,0.6000000000000001,0.25
