,Sub name,Model Score,Model Alpha,Model Beta
0,1129_4,43.809999999999995,0.0,0.35000000000000003
1,1116_5,40.08592458679857,0.35000000000000003,0.30000000000000004
2,1105_2,38.916534009555306,0.45,0.4
3,1117_7,31.233309528780644,0.6000000000000001,0.4
4,1121_2,44.9553120480558,0.25,0.6000000000000001
5,1120_1,31.10316304209558,0.6000000000000001,0.4
6,1121_13,46.956279410326715,0.05,0.6000000000000001
7,1121_8,40.524418988869556,0.30000000000000004,0.30000000000000004
8,1117_12,41.5846363807891,0.35000000000000003,0.35000000000000003
9,1206_2,25.560968975872917,0.7000000000000001,0.25
10,1117_1,43.86140003777429,0.35000000000000003,0.5
11,1128_3,21.8438274252052,0.7000000000000001,0.05
12,1120_7,35.01758231228839,0.35000000000000003,0.15000000000000002
13,1115_7,27.10738176686036,0.55,0.1
