,Sub name,Model Score,Model Alpha,Model Beta
0,1129_4,43.809999999999995,0.0,0.35000000000000003
1,1116_5,40.7187247426849,0.45,0.30000000000000004
2,1105_2,40.48155065003172,0.45,0.4
3,1117_7,38.64635774030121,0.5,0.5
4,1121_2,44.09331773574634,0.35000000000000003,0.55
5,1120_1,34.03112687270025,0.6000000000000001,0.25
6,1121_13,47.11691250459525,0.05,0.6000000000000001
7,1121_8,41.41713714444287,0.35000000000000003,0.25
8,1117_12,42.803213365810166,0.35000000000000003,0.4
9,1206_2,30.65073311505087,0.65,0.2
10,1117_1,44.01439777263159,0.35000000000000003,0.45
11,1128_3,35.94585114595027,0.5,0.25
12,1120_7,38.971709937871736,0.2,0.25
13,1115_7,33.57991866588212,0.5,0.1
