Below are the coding schemes for the stimuli,,
Coding,Stimuli,
2,Large Red Circle,
3,Small Red Circle,
5,Large Red Triangle,
7,Small Red Triangle,
11,Large Blue Circle,
13,Small Blue Circle,
17,Large Blue Triangle,
19,Small Blue Triangle,
"Note that the coding of L2 stimuli are reversed (for example, small blue triangle is coded to be 2).  ",,
"As the result, both lists will have the same ground truth for both the training and the generalization trials,",,
so L1 and L2 can be treated as the same list,,
,,
Below are the coding schemes for the columns,,
Coding,Stimuli,Entry Explanations
Subname,Subject Name,Unique Identifiers
List,Stimuli List,"L1 and L2 are list 1 and 2. Since L2 are inverted, they can be treated as the same list"
Formula_Type,Type of Ground Truth,"T1: Tenary Spec, Object; T2: Tenary Spec, Distributive; B1: Binary Spec, Object; B2: Binary Spec, Distributive; S1: Singular Spec"
Blc,Block Number,"1 & 2: Training Block; G1: Test block of 36 unique stimuli, no feedback; G2: Generaalization block of 12 3-object stimuli"
Seq,Stimuli,See the stimuli coding
Rsp,Subject Response,True and False
Truth,Ground Truth,True and False
Rsp_t1,Response time,Time between seeing the stimuli and making the prediction
Rsp_t2,Response time,Time between seeing the feedback and proceeding to the next trial
Cnfdnc,Confidence Rating,"1 to 5, with 1 being 50% and 5 being 100% confident"
