,Subname,FB Alpha,FB Beta,F1 Alpha,F1 Beta,F1- Alpha,F1- Beta,FN Alpha,FN Beta,S2 Alpha,S2 Beta,D2 Alpha,D2 Beta,S3 Alpha,S3 Beta,D3 Alpha,D3 Beta,CN Alpha,CN Beta
0,1129_5,0.45,0.25,0.25,0.35000000000000003,0.2,0.35000000000000003,0.45,0.25,0.55,0.30000000000000004,0.45,0.30000000000000004,0.55,0.30000000000000004,0.5,0.5,0.55,0.30000000000000004
1,1120_2,0.2,0.55,0.0,0.55,0.0,0.55,0.2,0.6000000000000001,0.1,0.55,0.1,0.55,0.1,0.55,0.1,0.6000000000000001,0.1,0.55
2,1105_3,0.05,0.6000000000000001,0.0,0.6000000000000001,0.0,0.6000000000000001,0.1,0.65,0.05,0.6000000000000001,0.0,0.6000000000000001,0.05,0.6000000000000001,0.1,0.65,0.05,0.6000000000000001
3,1117_8,0.15000000000000002,0.65,0.0,0.6000000000000001,0.0,0.6000000000000001,0.15000000000000002,0.65,0.1,0.65,0.1,0.65,0.1,0.65,0.0,0.6000000000000001,0.1,0.65
4,1121_3,0.4,0.45,0.45,0.65,0.45,0.65,0.35000000000000003,0.5,0.55,0.6000000000000001,0.45,0.55,0.55,0.6000000000000001,0.4,0.7000000000000001,0.55,0.6000000000000001
5,1116_6,0.15000000000000002,0.6000000000000001,0.05,0.6000000000000001,0.05,0.6000000000000001,0.2,0.6000000000000001,0.05,0.6000000000000001,0.1,0.6000000000000001,0.05,0.6000000000000001,0.05,0.6000000000000001,0.05,0.6000000000000001
6,1121_14,0.0,0.4,0.15000000000000002,0.45,0.15000000000000002,0.45,0.0,0.4,0.0,0.4,0.05,0.4,0.0,0.4,0.0,0.4,0.0,0.4
7,1117_13,0.30000000000000004,0.30000000000000004,0.05,0.35000000000000003,0.05,0.35000000000000003,0.30000000000000004,0.30000000000000004,0.2,0.35000000000000003,0.2,0.35000000000000003,0.2,0.35000000000000003,0.35000000000000003,0.45,0.2,0.35000000000000003
8,1206_3,0.75,0.0,0.35000000000000003,0.35000000000000003,0.35000000000000003,0.4,0.75,0.0,0.9500000000000001,0.0,0.45,0.30000000000000004,0.9500000000000001,0.0,0.75,0.8,0.9500000000000001,0.05
9,1121_9,0.30000000000000004,0.35000000000000003,0.15000000000000002,0.35000000000000003,0.1,0.4,0.25,0.35000000000000003,0.30000000000000004,0.4,0.15000000000000002,0.4,0.30000000000000004,0.4,0.30000000000000004,0.45,0.30000000000000004,0.4
10,1120_8,0.45,0.4,0.25,0.5,0.25,0.5,0.5,0.4,0.5,0.5,0.25,0.45,0.5,0.5,0.4,0.6000000000000001,0.5,0.5
11,1128_5,0.7000000000000001,0.1,0.35000000000000003,0.45,0.35000000000000003,0.45,0.7000000000000001,0.2,0.9500000000000001,0.30000000000000004,0.4,0.4,0.9500000000000001,0.35000000000000003,0.75,0.9,0.9500000000000001,0.4
12,1117_2,0.55,0.1,0.2,0.30000000000000004,0.2,0.30000000000000004,0.6000000000000001,0.05,0.7000000000000001,0.15000000000000002,0.35000000000000003,0.25,0.7000000000000001,0.15000000000000002,0.55,0.45,0.7000000000000001,0.15000000000000002
13,1115_8,0.65,0.05,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.7000000000000001,0.0,0.8500000000000001,0.0,0.35000000000000003,0.30000000000000004,0.8500000000000001,0.0,0.65,0.5,0.8500000000000001,0.05
