,Subname,FB,F1,F1-,FN,S2,D2,S3,D3,CN
0,1120_3,29.444402136799283,38.07598401654799,38.21492247950451,33.24118299753799,36.77713634036931,28.307584699570103,36.88799344742875,27.93099813300687,27.944364496903173
1,1115_4,28.93596064512863,35.2889443768731,35.3152725420618,27.972734068918754,33.302656788283294,26.1535339166143,33.17447044285099,25.413678633512355,24.852370613228345
2,1117_9,29.98112826641699,36.59186851753711,36.63342289561367,31.685312115808866,34.56349887706799,27.10052419423963,34.613584146457015,27.2821618589783,27.45989922514589
3,1121_4,25.7203712029283,39.86370165764605,39.89495598329205,26.404381554475286,33.16400738274798,30.99557537092477,32.50451443325681,31.092034330363436,31.045181462987603
4,1116_7,23.55754798413282,37.78268162649954,37.87865691868416,25.817089594564116,31.32375860785439,26.186499029104432,31.276854887944296,25.678166034643066,25.18284375761548
5,1121_15,39.6,39.6,39.599999999999994,39.599999999999994,39.60000000000001,39.60000000000001,39.6,39.6,39.599999999999994
6,1205_1,29.5,28.789521297776716,29.091068728705178,29.5,29.5,29.5,29.5,29.5,29.5
7,1129_2,34.20456697869392,36.63119823378123,36.62536578519499,33.69872551963215,33.55347193584054,36.341088503014646,33.53211721615188,36.30393321398511,36.272051661320994
8,1117_14,37.24466542993506,35.75187162510262,35.676206835903436,37.32426935190657,36.75015281878805,35.95409426156614,36.658596757410045,36.04245166169239,36.0547826056396
9,1206_4,38.305214241910775,39.3,39.3,38.747048262421295,39.00472215206659,39.18081782641822,39.020213970537284,39.08463497204259,39.06203518119034
10,1121_10,22.368511522424093,37.55954200335773,37.6331655992893,23.866285384969792,27.053045351546942,28.11700944686418,27.219090305757195,28.064170983683958,27.830795281229378
11,1116_1,39.959824752023806,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0
12,1120_9,32.72148508785287,34.45436232343829,34.35367991677713,33.13159303298739,37.14162738452077,34.20232812739969,37.053488075405696,33.955956515786696,33.966046022937874
13,1117_5,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0
