,Subname,FB Alpha,FB Beta,F1 Alpha,F1 Beta,F1- Alpha,F1- Beta,FN Alpha,FN Beta,S2 Alpha,S2 Beta,D2 Alpha,D2 Beta,S3 Alpha,S3 Beta,D3 Alpha,D3 Beta,CN Alpha,CN Beta
0,1128_1,0.8,0.25,0.8,0.25,0.8,0.30000000000000004,0.8500000000000001,0.30000000000000004,0.8,0.25,0.8,0.25,0.8,0.25,0.8,0.25,0.8,0.25
1,1205_2,0.9500000000000001,0.35000000000000003,0.9500000000000001,0.30000000000000004,0.9500000000000001,0.35000000000000003,0.9500000000000001,0.65,0.9500000000000001,0.25,0.9500000000000001,0.2,0.9500000000000001,0.25,0.9500000000000001,0.25,0.9500000000000001,0.35000000000000003
2,1120_4,0.9,0.1,0.9500000000000001,0.0,0.9500000000000001,0.0,0.9500000000000001,0.1,0.9,0.05,0.9,0.05,0.9,0.05,0.9,0.1,0.9,0.15000000000000002
3,1115_5,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
4,1121_5,1.0,0.0,1.0,0.0,1.0,0.0,0.9500000000000001,0.8500000000000001,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
5,1117_10,0.9500000000000001,0.8,0.9500000000000001,0.8,0.9500000000000001,0.8,0.9500000000000001,1.0,0.9500000000000001,0.75,0.9500000000000001,0.65,0.9500000000000001,0.75,0.9500000000000001,0.75,0.9500000000000001,0.8500000000000001
6,1116_8,0.0,0.4,0.0,0.4,0.0,0.4,0.0,0.4,0.0,0.4,0.0,0.4,0.0,0.4,0.0,0.4,0.0,0.4
7,1117_15,0.9500000000000001,0.0,0.9500000000000001,0.0,0.9500000000000001,0.05,1.0,0.0,0.9500000000000001,0.0,0.9500000000000001,0.0,0.9500000000000001,0.0,0.9500000000000001,0.0,0.9500000000000001,0.0
8,1206_5,0.8,0.4,0.8,0.4,0.8,0.4,0.8,0.45,0.8,0.35000000000000003,0.8,0.35000000000000003,0.8,0.35000000000000003,0.8,0.35000000000000003,0.8,0.35000000000000003
9,1116_2,0.9,0.05,0.9,0.1,0.9,0.1,0.9,0.2,0.8500000000000001,0.15000000000000002,0.8500000000000001,0.15000000000000002,0.8500000000000001,0.15000000000000002,0.9,0.05,0.9,0.05
10,1121_11,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
11,1120_10,0.9500000000000001,0.30000000000000004,0.9500000000000001,0.35000000000000003,0.9500000000000001,0.35000000000000003,0.9500000000000001,0.6000000000000001,0.9500000000000001,0.2,0.9500000000000001,0.15000000000000002,0.9500000000000001,0.25,0.9500000000000001,0.25,0.9500000000000001,0.35000000000000003
12,1129_1,0.9500000000000001,0.0,0.9500000000000001,0.0,0.9500000000000001,0.0,0.9500000000000001,0.2,0.9,0.05,0.9,0.05,0.9500000000000001,0.0,0.9500000000000001,0.0,0.9500000000000001,0.0
13,1117_4,0.8500000000000001,0.45,0.8500000000000001,0.45,0.8500000000000001,0.45,0.8500000000000001,0.5,0.8,0.4,0.8,0.4,0.8,0.4,0.8500000000000001,0.45,0.8500000000000001,0.45
