,Subname,FB Alpha,FB Beta,F1 Alpha,F1 Beta,F1- Alpha,F1- Beta,FN Alpha,FN Beta,S2 Alpha,S2 Beta,D2 Alpha,D2 Beta,S3 Alpha,S3 Beta,D3 Alpha,D3 Beta,CN Alpha,CN Beta
0,1121_6,0.7000000000000001,0.1,0.30000000000000004,0.35000000000000003,0.30000000000000004,0.35000000000000003,0.65,0.0,0.7000000000000001,0.0,0.45,0.25,0.9,0.2,0.55,0.4,0.9,0.2
1,1129_3,0.65,0.35000000000000003,0.2,0.5,0.2,0.5,0.35000000000000003,0.45,0.6000000000000001,0.25,0.25,0.45,0.75,0.65,0.5,0.65,0.75,0.65
2,1116_4,0.35000000000000003,0.45,0.25,0.5,0.2,0.5,0.25,0.45,0.35000000000000003,0.45,0.2,0.45,0.5,0.55,0.25,0.55,0.5,0.55
3,1117_6,0.25,0.5,0.35000000000000003,0.55,0.35000000000000003,0.55,0.2,0.5,0.30000000000000004,0.5,0.4,0.45,0.35000000000000003,0.55,0.25,0.55,0.35000000000000003,0.55
4,1206_6,0.05,0.4,0.0,0.4,0.0,0.4,0.05,0.4,0.15000000000000002,0.4,0.0,0.4,0.1,0.4,0.0,0.4,0.1,0.4
5,1117_16,0.65,0.05,0.30000000000000004,0.4,0.30000000000000004,0.4,0.55,0.15000000000000002,0.6000000000000001,0.05,0.35000000000000003,0.30000000000000004,0.8,0.2,0.45,0.4,0.8500000000000001,0.15000000000000002
6,1121_12,0.2,0.5,0.0,0.5,0.0,0.5,0.05,0.5,0.2,0.5,0.15000000000000002,0.5,0.15000000000000002,0.5,0.2,0.55,0.15000000000000002,0.5
7,1105_1,0.4,0.25,0.2,0.35000000000000003,0.2,0.35000000000000003,0.4,0.25,0.4,0.2,0.30000000000000004,0.30000000000000004,0.4,0.30000000000000004,0.25,0.4,0.4,0.30000000000000004
8,1121_7,0.25,0.4,0.0,0.45,0.0,0.45,0.30000000000000004,0.4,0.15000000000000002,0.4,0.1,0.45,0.1,0.45,0.05,0.45,0.1,0.45
9,1120_5,0.7000000000000001,0.15000000000000002,0.30000000000000004,0.45,0.35000000000000003,0.45,0.5,0.4,0.75,0.0,0.4,0.35000000000000003,1.0,0.0,0.65,0.65,1.0,0.0
10,1206_1,0.0,0.5,0.05,0.5,0.05,0.5,0.15000000000000002,0.5,0.0,0.5,0.1,0.5,0.0,0.5,0.1,0.55,0.0,0.5
11,1117_11,0.2,0.45,0.1,0.45,0.15000000000000002,0.45,0.25,0.45,0.15000000000000002,0.45,0.1,0.45,0.15000000000000002,0.45,0.05,0.45,0.2,0.5
12,1116_9,0.7000000000000001,0.1,0.25,0.45,0.25,0.45,0.4,0.45,0.75,0.0,0.35000000000000003,0.4,1.0,0.0,0.55,0.55,1.0,0.0
13,1128_4,0.25,0.6000000000000001,0.0,0.55,0.0,0.55,0.25,0.6000000000000001,0.2,0.6000000000000001,0.1,0.6000000000000001,0.1,0.6000000000000001,0.15000000000000002,0.6000000000000001,0.1,0.6000000000000001
14,1115_6,0.2,0.6000000000000001,0.30000000000000004,0.65,0.30000000000000004,0.65,0.2,0.55,0.30000000000000004,0.55,0.30000000000000004,0.6000000000000001,0.25,0.6000000000000001,0.25,0.65,0.2,0.6000000000000001
