,Subname,FB,F1,F1-,FN,S2,D2,S3,D3,CN
0,1121_6,18.270728412153503,35.39534064213126,35.406138963486896,24.42761140980904,20.6952264293903,30.542074433155634,8.691991018138488,28.613694719069173,8.386218780474191
1,1129_3,24.956611250141762,38.960400753856646,38.97776809045633,36.52629219371132,28.132657395571787,37.95894489353765,18.98606346919317,34.50149606418482,18.78385498433987
2,1116_4,35.469206862662816,38.37989836729044,38.46971575473336,38.198899224426924,35.765013197899634,38.43016830774111,29.999489477091252,38.185368137393525,30.119740379495397
3,1117_6,37.493264664975456,36.173120623267124,36.25048583154987,38.87654955608215,36.98535736253633,36.072370429286494,35.73442936349502,38.40978924991261,35.90516548872165
4,1206_6,38.7489539603816,38.8,38.8,38.791109569792184,38.20148380855083,38.800000000000004,38.47200630445995,38.8,38.50270497687714
5,1117_16,21.295057513896772,34.50353162541217,34.5570767218788,28.100562217907054,24.30294975576783,32.873298914284376,13.907158977982807,31.085444421883754,12.345294723418444
6,1121_12,38.28216042461674,40.0,39.99999999999999,39.93022020806451,38.8089475315565,39.454225859350586,39.01671887535164,38.841236823435324,38.96882969185397
7,1105_1,30.413800273591093,35.720531826740356,35.799580289327196,31.639982456593668,32.21183874361546,34.41692498778858,30.458812471319213,34.971381054254024,30.60446737200008
8,1121_7,37.560814423686196,39.5,39.5,37.08605044913583,38.886491478047375,39.3021342015367,39.224685495556415,39.41699900629981,39.24425062577308
9,1120_5,19.088496015940592,36.30895497470243,36.02074931250405,32.04189512144462,19.04943102910314,34.1879864297257,3.6815791205705426,27.356567211183986,3.326440505481462
10,1206_1,40.0,39.91692923162137,39.923216975217436,39.278993240382526,40.0,39.64853618457178,40.0,39.88553908034534,40.0
11,1117_11,38.37296644786338,39.35243420703252,39.3304971633963,37.64357463893964,38.78119656434778,39.43284569618869,38.71631492679426,39.755254095735665,38.49819350753951
12,1116_9,20.183317554532053,37.36860086732148,37.36798849508327,34.689317142140695,18.7529502507302,35.17338622596385,2.607905351418834,30.77472243275325,2.390441842154339
13,1128_4,36.933035935567425,39.2,39.2,37.51085439517869,37.71111206112697,38.80511570629057,38.90319292069767,38.44954873826559,38.85778029854207
14,1115_6,38.212257686552405,36.18741512456606,36.2060125554823,38.29043743872897,36.36971783092176,36.82051298094953,37.328516675913974,37.76198047403478,37.59229748798364
